timecode,blendShapeCount,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,jawForward,jawRight,jawLeft,jawOpen,mouthClose,mouthFunnel,mouthPucker,mouthRight,mouthLeft,mouthSmileLeft,mouthSmileRight,mouthFrownLeft,mouthFrownRight,mouthDimpleLeft,mouthDimpleRight,mouthStretchLeft,mouthStretchRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthPressLeft,mouthPressRight,mouthLowerDownLeft,mouthLowerDownRight,mouthUpperUpLeft,mouthUpperUpRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,tongueOut,headYaw,headPitch,headRoll,leftEyeYaw,leftEyePitch,leftEyeRoll,rightEyeYaw,rightEyePitch,rightEyeRoll
00:00:00:01,51,0.18126677,0.28466779,0.01217145,0.27280006,0.03137993,0.33539888,0.00449549,0.14923410,0.26015511,0.26350471,0.00983976,0.02506937,0.25249064,0.00231121,0.00004340,0.00001720,0.00129287,0.00627544,0.00420014,0.00087631,0.03830588,0.00013386,0.00728176,0.00094679,0.00055197,0.00045420,0.00087107,0.00863789,0.00050010,0.00169614,0.00632796,0.00793207,0.00253238,0.01787561,0.00705191,0.04071159,0.01019161,0.00009857,0.00016035,0.00029900,0.00021566,0.00000040,0.09118138,0.00313244,0.06137630,0.03751005,0.00001133,0.00000007,0.00000026,0.00000111,0.00000040,0,-0.003710438192713289,-0.007708143876467875,-0.043266421169766575,0.4681205153465271,0.39894357323646545,0,0.4681205153465271,0.39894357323646545,0
00:00:00:02,51,0.11778545,0.25785610,0.00904829,0.27490029,0.03800983,0.38052672,0.00861598,0.11460895,0.24622980,0.27194515,0.01244139,0.02584008,0.18928781,0.00303426,0.00003334,0.00004704,0.00109586,0.00963793,0.00656883,0.00189867,0.15700120,0.00052600,0.00316143,0.00021592,0.00019950,0.00033405,0.00054384,0.00197399,0.00070671,0.00081519,0.00302504,0.00699758,0.00244557,0.01577285,0.01067832,0.00988875,0.00780215,0.00012370,0.00011223,0.00022792,0.00025582,0.00000035,0.11258017,0.00244506,0.07119358,0.03103443,0.00001090,0.00000009,0.00000015,0.00000105,0.00000035,0,0.010449699026392532,-0.00836447352752603,-0.049428635072916026,0.46862584352493286,0.3999636471271515,0,0.46862584352493286,0.3999636471271515,0
00:00:00:03,51,0.16644274,0.24667229,0.01512735,0.21465032,0.03780546,0.38329539,0.00536691,0.16100162,0.23990285,0.20677787,0.01556922,0.02962771,0.26543245,0.00208743,0.00003915,0.00003536,0.00163864,0.00933064,0.00584180,0.00314417,0.19550757,0.00042523,0.00507320,0.00032045,0.00022887,0.00007346,0.00010744,0.00401452,0.00088948,0.00072156,0.00116772,0.00439574,0.00307502,0.00598449,0.00644915,0.01227255,0.00556291,0.00014756,0.00015442,0.00017506,0.00016699,0.00000022,0.12967494,0.00269045,0.05417904,0.02521387,0.00001028,0.00000005,0.00000012,0.00000091,0.00000022,0,0.0006635353461324451,-0.004595368266895339,-0.04896584139452232,0.468300998210907,0.3996284604072571,0,0.468300998210907,0.3996284604072571,0
00:00:00:04,51,0.12086800,0.19399513,0.01493632,0.24242660,0.04790594,0.34921446,0.00744511,0.10420509,0.18974577,0.22714707,0.01196058,0.04048697,0.23919010,0.00366514,0.00006024,0.00002739,0.00135471,0.00850127,0.00582493,0.00316030,0.13334753,0.00024213,0.00569076,0.00085695,0.00060594,0.00014032,0.00021476,0.00387909,0.00063089,0.00173786,0.00268888,0.00263052,0.00203920,0.00288611,0.00545553,0.01224610,0.00526492,0.00020975,0.00021508,0.00024094,0.00020975,0.00000027,0.09517348,0.00359421,0.08989054,0.03375782,0.00001255,0.00000006,0.00000014,0.00000114,0.00000027,0,-0.0024572199891096124,-0.005371425052847753,-0.0493822105844669,0.4692426323890686,0.4001334011554718,0,0.4692426323890686,0.4001334011554718,0
00:00:00:05,51,0.11562657,0.22518051,0.01290019,0.26295814,0.04100773,0.36496881,0.00687361,0.13068281,0.21404174,0.24786164,0.01036109,0.03048811,0.28491288,0.00256999,0.00003699,0.00001848,0.00162350,0.00877313,0.00648818,0.00133595,0.05989860,0.00019252,0.00591626,0.00067017,0.00060412,0.00050542,0.00078020,0.00239611,0.00088904,0.00178282,0.00447142,0.00623281,0.00227640,0.01523189,0.01119858,0.01371233,0.01167701,0.00013141,0.00010725,0.00039398,0.00044173,0.00000036,0.10817416,0.00287145,0.06619423,0.02924754,0.00001142,0.00000009,0.00000014,0.00000089,0.00000036,0,-0.00494218051493956,-0.008488075386298923,-0.0416934855813712,0.46812087297439575,0.40295252203941345,0,0.46812087297439575,0.40295252203941345,0
00:00:00:06,51,0.14838177,0.19577469,0.01603929,0.20425493,0.04228195,0.29771855,0.00507454,0.12927125,0.19857672,0.20182419,0.01694940,0.03753895,0.29128143,0.00270645,0.00002545,0.00002684,0.00259267,0.01633675,0.01329779,0.00177481,0.09287462,0.00029115,0.00829089,0.00033795,0.00021188,0.00005717,0.00007491,0.00449552,0.00135383,0.00084323,0.00056198,0.00993353,0.00641814,0.01564209,0.00701251,0.02335160,0.01114757,0.00012615,0.00009872,0.00015038,0.00014863,0.00000019,0.12243042,0.00251519,0.06853712,0.02588433,0.00001104,0.00000006,0.00000013,0.00000049,0.00000019,0,0.003293315080524618,-0.008410495223522985,-0.04115879169581947,0.4670191705226898,0.40181612968444824,0,0.4670191705226898,0.40181612968444824,0
00:00:00:07,51,0.11609790,0.22685899,0.01734815,0.17181207,0.04076913,0.37168267,0.00740421,0.09968192,0.22088395,0.17509876,0.02282876,0.03207172,0.23638524,0.00355768,0.00004862,0.00001561,0.00192068,0.00625661,0.00419991,0.00255702,0.09033008,0.00021420,0.00740280,0.00111324,0.00075823,0.00017123,0.00022838,0.00399453,0.00083513,0.00209940,0.00173104,0.00338216,0.00180716,0.00732547,0.01022609,0.01874512,0.00817833,0.00014072,0.00012703,0.00033309,0.00032199,0.00000031,0.08805811,0.00472122,0.06283064,0.03194950,0.00001222,0.00000007,0.00000013,0.00000092,0.00000031,0,-3.8156039781127494e-05,-0.008646963791714602,-0.037682709367703626,0.4671455919742584,0.40460875630378723,0,0.4671455919742584,0.40460875630378723,0
00:00:00:08,51,0.14657836,0.33357850,0.02313375,0.21332234,0.02733846,0.37634695,0.00644977,0.13210206,0.29529154,0.19192114,0.01122857,0.02117841,0.27149078,0.00307892,0.00003552,0.00002866,0.00219697,0.01007750,0.00652571,0.00258676,0.20053375,0.00051208,0.00468678,0.00024930,0.00016379,0.00006612,0.00010881,0.00634063,0.00102256,0.00049986,0.00119583,0.00647874,0.00327759,0.00769303,0.00542439,0.01584340,0.00604525,0.00016200,0.00019048,0.00020515,0.00014908,0.00000024,0.05053686,0.01139177,0.11235002,0.05061581,0.00000895,0.00000007,0.00000015,0.00000115,0.00000024,0,0.025674187006600506,0.0008818544006567068,-0.04498648656697938,0.47041812539100647,0.40715375542640686,0,0.47041812539100647,0.40715375542640686,0
00:00:00:09,51,0.12711188,0.36484686,0.03533805,0.13207598,0.02403599,0.30516720,0.00682698,0.11784875,0.31266600,0.13768111,0.02081037,0.01828026,0.24665293,0.00318959,0.00004809,0.00001546,0.00180480,0.00655098,0.00462129,0.00151251,0.07960259,0.00026993,0.00420818,0.00091881,0.00059055,0.00063055,0.00089440,0.00321633,0.00061181,0.00298517,0.00399582,0.00545401,0.00138211,0.01206919,0.00889076,0.02197459,0.00852313,0.00013656,0.00016699,0.00033000,0.00027517,0.00000038,0.06056945,0.01141286,0.12085447,0.03978725,0.00001042,0.00000011,0.00000017,0.00000126,0.00000038,0,0.004252759266181638,0.013418384433255963,-0.05108937521094334,0.47098660469055176,0.4063507616519928,0,0.47098660469055176,0.4063507616519928,0
00:00:01:00,51,0.17495337,0.39555934,0.02983426,0.14693482,0.02159410,0.33814049,0.00577291,0.13796099,0.34681100,0.14119072,0.02050379,0.01618295,0.21954522,0.00263249,0.00003257,0.00003459,0.00129160,0.00496789,0.00300741,0.00318485,0.26906207,0.00051904,0.00530570,0.00030100,0.00021434,0.00006633,0.00011627,0.00560015,0.00065835,0.00048174,0.00170272,0.00310369,0.00201788,0.00846948,0.00896464,0.01178731,0.00430310,0.00008987,0.00011130,0.00027671,0.00021306,0.00000022,0.06424194,0.01021035,0.12085123,0.04251226,0.00000682,0.00000006,0.00000013,0.00000159,0.00000022,0,-0.0010180084912599625,0.010293804241239332,-0.04315443680456115,0.4716738760471344,0.4071846902370453,0,0.4716738760471344,0.4071846902370453,0
