timecode,blendShapeCount,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,jawForward,jawRight,jawLeft,jawOpen,mouthClose,mouthFunnel,mouthPucker,mouthRight,mouthLeft,mouthSmileLeft,mouthSmileRight,mouthFrownLeft,mouthFrownRight,mouthDimpleLeft,mouthDimpleRight,mouthStretchLeft,mouthStretchRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthPressLeft,mouthPressRight,mouthLowerDownLeft,mouthLowerDownRight,mouthUpperUpLeft,mouthUpperUpRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,tongueOut,headYaw,headPitch,headRoll,leftEyeYaw,leftEyePitch,leftEyeRoll,rightEyeYaw,rightEyePitch,rightEyeRoll
00:00:00:01,51,0.02534398,0.07202020,0.00592241,0.41728139,0.10835796,0.22547445,0.02981172,0.02291764,0.08260345,0.39083847,0.00382394,0.10424661,0.21022478,0.01689901,0.00009915,0.00015512,0.00977526,0.21507643,0.01126035,0.02251575,0.14456543,0.00018257,0.00274556,0.00004017,0.00007690,0.00055907,0.00106261,0.00049023,0.00134050,0.00018795,0.00507791,0.00879332,0.01010932,0.00169613,0.01127912,0.00105087,0.00947229,0.00778674,0.00454947,0.00083021,0.00143292,0.00000098,0.02541213,0.00846165,0.23983009,0.06850629,0.00002249,0.00000042,0.00000031,0.00000145,0.00000098,0,0.10595700538056489,0.05329535320879902,-0.020578553529944404,0.48485469818115234,0.4053853750228882,0,0.48485469818115234,0.4053853750228882,0
00:00:00:02,51,0.04593784,0.10252766,0.00489338,0.48162854,0.08776801,0.31585509,0.02039465,0.04334235,0.12038477,0.46701366,0.00302111,0.07741942,0.27052686,0.00974048,0.00015171,0.00017215,0.01027917,0.27867809,0.00988080,0.01825878,0.04731773,0.00021776,0.00090524,0.00016056,0.00042426,0.00379237,0.00554182,0.00017523,0.00165884,0.00114381,0.01440238,0.00370478,0.00514599,0.00134571,0.01493328,0.00079513,0.01535340,0.01262566,0.00502240,0.00170116,0.00447678,0.00000160,0.04637689,0.00444588,0.16859041,0.03541338,0.00003145,0.00000056,0.00000022,0.00000153,0.00000160,0,0.10450210547090405,0.07388639516228393,-0.02193621989174711,0.4919888973236084,0.4026678800582886,0,0.4919888973236084,0.4026678800582886,0
00:00:00:03,51,0.02923416,0.05998939,0.00670271,0.37418872,0.12422009,0.20997968,0.02448683,0.02146037,0.06851503,0.36056206,0.00488126,0.12624723,0.16858323,0.01540490,0.00016772,0.00014656,0.01548165,0.36463842,0.00738109,0.01151646,0.01662435,0.00021829,0.00086242,0.00031465,0.00056931,0.00137179,0.00270334,0.00090693,0.00176296,0.00065953,0.01483080,0.00419522,0.00704273,0.00153120,0.01544087,0.00290509,0.01852065,0.01800850,0.01221728,0.00364824,0.00461755,0.00000202,0.04155787,0.00574732,0.16101080,0.03819190,0.00004925,0.00000043,0.00000036,0.00000208,0.00000202,0,0.09259736032010366,0.09316082974634075,-0.037981794113593835,0.498343288898468,0.39468908309936523,0,0.498343288898468,0.39468908309936523,0
00:00:00:04,51,0.02542293,0.05948439,0.00607297,0.42553756,0.12835392,0.19416378,0.02599512,0.03448104,0.06770384,0.41609636,0.00361007,0.13773715,0.25390118,0.01028111,0.00018978,0.00016528,0.01299355,0.33811468,0.00691512,0.00760099,0.01263351,0.00007332,0.00168773,0.00031228,0.00059509,0.00410777,0.00668735,0.00036934,0.00140075,0.00147279,0.02203574,0.00456692,0.00620776,0.00169165,0.01622731,0.00242241,0.02582953,0.01897077,0.01127732,0.00258448,0.00397187,0.00000200,0.03658611,0.01527008,0.16230795,0.04018014,0.00004631,0.00000059,0.00000027,0.00000208,0.00000200,0,0.08468078494812907,0.09541468616407571,-0.0650044078971972,0.5060979127883911,0.38924506306648254,0,0.5060979127883911,0.38924506306648254,0
00:00:00:05,51,0.01787224,0.05036480,0.00712023,0.33365366,0.14764033,0.21491039,0.03930803,0.01567955,0.05962486,0.32476598,0.00640992,0.14765273,0.15259165,0.01729877,0.00016244,0.00017909,0.01040987,0.34893292,0.00826471,0.00793201,0.01592963,0.00028740,0.00060159,0.00027471,0.00050506,0.00119828,0.00256132,0.00095293,0.00142517,0.00063213,0.02976841,0.00507916,0.00670379,0.00157142,0.01098805,0.00319228,0.01822382,0.01427127,0.01284579,0.00239909,0.00280562,0.00000185,0.05279646,0.00527778,0.15122059,0.03672625,0.00005295,0.00000041,0.00000041,0.00000193,0.00000185,0,0.0682136330010071,0.10137820707741514,-0.09600755703717144,0.5098161697387695,0.3868415057659149,0,0.5098161697387695,0.3868415057659149,0
00:00:00:06,51,0.02673464,0.06261051,0.01077969,0.28636160,0.12611447,0.24927954,0.02736779,0.01777419,0.07087032,0.27083570,0.00760201,0.13150659,0.20587879,0.01694568,0.00011976,0.00017839,0.00812291,0.29604104,0.00958852,0.00860100,0.02641300,0.00030193,0.00060759,0.00013943,0.00028516,0.00198290,0.00433175,0.00047743,0.00098905,0.00066201,0.03257731,0.00550433,0.00707937,0.00227874,0.01612497,0.00174532,0.01304491,0.00905879,0.00613432,0.00268044,0.00364924,0.00000166,0.05676276,0.00429247,0.12515533,0.03131961,0.00003502,0.00000053,0.00000030,0.00000158,0.00000166,0,0.05604846258902105,0.11245972601637123,-0.10758339829964761,0.507935643196106,0.392273873090744,0,0.507935643196106,0.392273873090744,0
00:00:00:07,51,0.04476073,0.07871151,0.00465398,0.45871717,0.10436849,0.31681660,0.01897995,0.04269977,0.08632480,0.44394547,0.00369541,0.10075498,0.31196645,0.00736271,0.00015452,0.00009209,0.00852128,0.16226307,0.01235149,0.01488529,0.06398109,0.00011235,0.00291121,0.00011961,0.00017267,0.00056302,0.00127633,0.00108793,0.00074971,0.00032633,0.00920930,0.00753802,0.01093518,0.00166735,0.01111328,0.00238822,0.00989270,0.00507327,0.00395921,0.00140827,0.00151819,0.00000118,0.06801347,0.00514980,0.12955144,0.02877255,0.00003241,0.00000033,0.00000026,0.00000127,0.00000118,0,0.04049838479689898,0.11237055913408577,-0.08946715633481392,0.5014984607696533,0.40062862634658813,0,0.5014984607696533,0.40062862634658813,0
00:00:00:08,51,0.04851838,0.12329988,0.00415314,0.46020451,0.06668184,0.27617338,0.02342615,0.04654919,0.13174036,0.45492584,0.00429320,0.06181554,0.19868124,0.00640975,0.00005407,0.00006038,0.00044718,0.00377091,0.00169113,0.00267706,0.16374309,0.00047759,0.00335508,0.00038105,0.00035830,0.00009995,0.00019985,0.00349183,0.00069482,0.00055811,0.00484655,0.00186077,0.00218345,0.00374793,0.00417497,0.00970302,0.00894325,0.00014850,0.00014996,0.00013348,0.00010128,0.00000027,0.14161067,0.00328248,0.07882435,0.02498622,0.00000796,0.00000005,0.00000013,0.00000183,0.00000027,0,0.03758529568337706,0.09352226304432465,-0.07004276510365823,0.491981565952301,0.40650084614753723,0,0.491981565952301,0.40650084614753723,0
00:00:00:09,51,0.06280801,0.13784000,0.00445210,0.47591275,0.06435635,0.25766143,0.01640037,0.04450183,0.12880825,0.47413337,0.00371006,0.05919882,0.19545287,0.00643204,0.00012336,0.00001670,0.00037199,0.00110696,0.00046439,0.00186118,0.03278060,0.00017956,0.00429546,0.01014747,0.00731961,0.00034987,0.00073158,0.00767229,0.00037073,0.00415569,0.03436961,0.00062666,0.00063975,0.00383851,0.00996743,0.03193959,0.00979546,0.00013421,0.00023456,0.00110032,0.00070476,0.00000053,0.10911475,0.00438146,0.08898687,0.03379444,0.00001123,0.00000006,0.00000023,0.00000375,0.00000053,0,0.04035999629481263,0.09670803217489916,-0.041649925336587665,0.48293644189834595,0.40472933650016785,0,0.48293644189834595,0.40472933650016785,0
00:00:00:10,51,0.04648282,0.09733869,0.00454101,0.54379117,0.09386918,0.18947285,0.01833850,0.03357037,0.08462880,0.53948700,0.00248043,0.09656709,0.23292130,0.01107638,0.00016693,0.00000952,0.00061262,0.00087207,0.00038761,0.00309560,0.04292827,0.00007347,0.01326444,0.04961181,0.02489444,0.00013118,0.00025158,0.01632534,0.00039142,0.00846342,0.02654177,0.00040361,0.00060780,0.00265821,0.00961314,0.03979259,0.00746709,0.00015425,0.00026630,0.00225929,0.00125722,0.00000043,0.08895861,0.00520995,0.08879788,0.02982137,0.00001196,0.00000006,0.00000029,0.00000380,0.00000043,0,0.046381212051980814,0.07392912878705728,-0.01890925759202378,0.47748762369155884,0.40196311473846436,0,0.47748762369155884,0.40196311473846436,0
